TermIRI,Term_label,ParentTermIRI,Parent_label,Alternative term,Definition
http://purl.obolibrary.org/obo/VTO_0009841,Myotis brandtii,http://purl.obolibrary.org/obo/VTO_0009800,Myotis,,
http://purl.obolibrary.org/obo/VTO_0009842,Myotis mystacinus,http://purl.obolibrary.org/obo/VTO_0009800,Myotis,,
http://purl.obolibrary.org/obo/VTO_0009856,Myotis emarginatus,http://purl.obolibrary.org/obo/VTO_0009800,Myotis,,
http://purl.obolibrary.org/obo/VTO_0009857,Myotis nattereri,http://purl.obolibrary.org/obo/VTO_0009800,Myotis,,
http://purl.obolibrary.org/obo/VTO_0009852,Myotis blythii,http://purl.obolibrary.org/obo/VTO_0009800,Myotis,,
http://purl.obolibrary.org/obo/VTO_0009649,Plecotus austriacus,http://purl.obolibrary.org/obo/VTO_0009623,Plecotus,,
http://purl.obolibrary.org/obo/VTO_0009780,Hypsugo,http://purl.obolibrary.org/obo/VTO_0009613,Vespertilionidae,,
http://purl.obolibrary.org/obo/VTO_0009797,Hypsugo savii,http://purl.obolibrary.org/obo/VTO_0009780,Hypsugo,,
http://purl.obolibrary.org/obo/VTO_0053817,Stigmatopora macropterygia,http://purl.obolibrary.org/obo/VTO_0053816,Stigmatopora,,
http://purl.obolibrary.org/obo/VTO_0053819,Stigmatopora narinosa,http://purl.obolibrary.org/obo/VTO_0053816,Stigmatopora,,
http://purl.obolibrary.org/obo/VTO_0053755,Leptonotus,http://purl.obolibrary.org/obo/VTO_0053690,Syngnathidae,,
http://purl.obolibrary.org/obo/VTO_0053756,Leptonotus elevatus,http://purl.obolibrary.org/obo/VTO_0053755,Leptonotus,,
http://purl.obolibrary.org/obo/VTO_0049723,Giuris,http://purl.obolibrary.org/obo/VTO_0049651,Eleotridae,,
http://purl.obolibrary.org/obo/VTO_0049726,Giuris margaritacea,http://purl.obolibrary.org/obo/VTO_0049723,Giuris,,
http://purl.obolibrary.org/obo/VTO_0075386,Ophieleotris aporos,http://purl.obolibrary.org/obo/VTO_0049723,Giuris,,
http://purl.obolibrary.org/obo/VTO_0075385,Ophieleotris margaritacea,http://purl.obolibrary.org/obo/VTO_0049723,Giuris,,
http://purl.obolibrary.org/obo/VTO_0002716,Rana culaiensis,http://purl.obolibrary.org/obo/VTO_0002703,Rana,,
http://purl.obolibrary.org/obo/VTO_0034571,Herklotsichthys lossei,http://purl.obolibrary.org/obo/VTO_0034569,Herklotsichthys,,
http://purl.obolibrary.org/obo/VTO_0034834,Ilisha megaloptera,http://purl.obolibrary.org/obo/VTO_0034830,Ilisha,,
http://purl.obolibrary.org/obo/VTO_0034596,Sardinella sindensis,http://purl.obolibrary.org/obo/VTO_0034590,Sardinella,,
http://purl.obolibrary.org/obo/VTO_0028393,Nesospiza questi,http://purl.obolibrary.org/obo/VTO_0028392,Nesospiza,,
http://purl.obolibrary.org/obo/VTO_0042519,Eulophias,http://purl.obolibrary.org/obo/VTO_0042441,Stichaeidae,,
http://purl.obolibrary.org/obo/VTO_0007301,Bufo eichwaldi,http://purl.obolibrary.org/obo/VTO_0007300,Bufo,,
http://purl.obolibrary.org/obo/VTO_9019307,Sminthurus,http://purl.obolibrary.org/obo/VTO_0012377,Hystricidae,,
http://purl.obolibrary.org/obo/VTO_0016038,Dierogekko,http://purl.obolibrary.org/obo/VTO_0015928,Diplodactylinae,,
http://purl.obolibrary.org/obo/VTO_0016044,Dierogekko inexpectatus,http://purl.obolibrary.org/obo/VTO_0016038,Dierogekko,,
http://purl.obolibrary.org/obo/VTO_0016043,Dierogekko insularis,http://purl.obolibrary.org/obo/VTO_0016038,Dierogekko,,
http://purl.obolibrary.org/obo/VTO_0016042,Dierogekko kaalaensis,http://purl.obolibrary.org/obo/VTO_0016038,Dierogekko,,
http://purl.obolibrary.org/obo/VTO_0016041,Dierogekko koniambo,http://purl.obolibrary.org/obo/VTO_0016038,Dierogekko,,
http://purl.obolibrary.org/obo/VTO_0016040,Dierogekko nehoueensis,http://purl.obolibrary.org/obo/VTO_0016038,Dierogekko,,
http://purl.obolibrary.org/obo/VTO_0016039,Dierogekko poumensis,http://purl.obolibrary.org/obo/VTO_0016038,Dierogekko,,
http://purl.obolibrary.org/obo/VTO_0016047,Dierogekko thomaswhitei,http://purl.obolibrary.org/obo/VTO_0016038,Dierogekko,,
http://purl.obolibrary.org/obo/VTO_0016046,Dierogekko validiclavis,http://purl.obolibrary.org/obo/VTO_0016038,Dierogekko,,
http://purl.obolibrary.org/obo/VTO_0016045,Dierogekko sp. AMB-2011,http://purl.obolibrary.org/obo/VTO_0016038,Dierogekko,,
http://purl.obolibrary.org/obo/VTO_0015991,Bavayia geitaina,http://purl.obolibrary.org/obo/VTO_0015976,Bavayia,,
http://purl.obolibrary.org/obo/VTO_0015990,Bavayia sp. AMB-2011,http://purl.obolibrary.org/obo/VTO_0015976,Bavayia,,
http://purl.obolibrary.org/obo/VTO_0013761,Deltamys sp. Esmeralda/GDE-2011,http://purl.obolibrary.org/obo/VTO_0013759,Deltamys,,
http://purl.obolibrary.org/obo/VTO_0012992,Heliosciurus rufobrachium,http://purl.obolibrary.org/obo/VTO_0012988,Heliosciurus,,
http://purl.obolibrary.org/obo/VTO_0010848,Crossarchus platycephalus,http://purl.obolibrary.org/obo/VTO_0010845,Crossarchus,,
http://purl.obolibrary.org/obo/VTO_0040304,Phoxinus oxycephalus,http://purl.obolibrary.org/obo/VTO_0040300,Phoxinus,,
http://purl.obolibrary.org/obo/VTO_0064410,Rhynchocypris oxycephalus,http://purl.obolibrary.org/obo/VTO_0038693,Rhynchocypris,,
http://purl.obolibrary.org/obo/VTO_0031773,Tetrao parvirostris,http://purl.obolibrary.org/obo/VTO_0031771,Tetrao,,
http://purl.obolibrary.org/obo/VTO_0033338,Mauremys sinensis x reevesii,http://purl.obolibrary.org/obo/VTO_0033337,Mauremys hybrids,,
http://purl.obolibrary.org/obo/VTO_0031777,Falcipennis,http://purl.obolibrary.org/obo/VTO_0031761,Tetraoninae,,
http://purl.obolibrary.org/obo/VTO_0031779,Falcipennis canadensis,http://purl.obolibrary.org/obo/VTO_0031777,Falcipennis,,
http://purl.obolibrary.org/obo/VTO_0031778,Falcipennis falcipennis,http://purl.obolibrary.org/obo/VTO_0031777,Falcipennis,,
http://purl.obolibrary.org/obo/VTO_0013351,Sicista kazbegica,http://purl.obolibrary.org/obo/VTO_0013347,Sicista,,
http://purl.obolibrary.org/obo/VTO_0015111,Calomyscus mystax,http://purl.obolibrary.org/obo/VTO_0015107,Calomyscus,,
http://purl.obolibrary.org/obo/VTO_0013950,Phodopus roborovskii,http://purl.obolibrary.org/obo/VTO_0013948,Phodopus,,
http://purl.obolibrary.org/obo/VTO_0015058,Otomys,http://purl.obolibrary.org/obo/VTO_0014444,Murinae,,
http://purl.obolibrary.org/obo/VTO_0041278,Triplophysa xiangxiensis,http://purl.obolibrary.org/obo/VTO_0041272,Triplophysa,,
http://purl.obolibrary.org/obo/VTO_0015073,Otomys angoniensis,http://purl.obolibrary.org/obo/VTO_0015058,Otomys,,
http://purl.obolibrary.org/obo/VTO_0044278,Prognathodes aculeatus,http://purl.obolibrary.org/obo/VTO_0044276,Prognathodes,,
http://purl.obolibrary.org/obo/VTO_0044373,Chaetodon aureofasciatus,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044367,Chaetodon austriacus,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044369,Chaetodon baronessa,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044370,Chaetodon citrinellus,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044371,Chaetodon collare,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044378,Chaetodon decussatus,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044379,Chaetodon ephippium,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044380,Chaetodon flavirostris,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044381,Chaetodon kleinii,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044374,Chaetodon larvatus,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044375,Chaetodon lineolatus,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044376,Chaetodon lunula,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044377,Chaetodon melannotus,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044319,Chaetodon mesoleucos,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044320,Chaetodon meyeri,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044316,Chaetodon ocellicaudus,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044318,Chaetodon octofasciatus,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044325,Chaetodon ornatissimus,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044326,Chaetodon oxycephalus,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044322,Chaetodon plebeius,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044324,Chaetodon rafflesii,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044311,Chaetodon rainfordi,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044312,Chaetodon speculum,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044308,Chaetodon trifascialis,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044310,Chaetodon trifasciatus,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044314,Chaetodon ulietensis,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0044315,Chaetodon vagabundus,http://purl.obolibrary.org/obo/VTO_0044307,Chaetodon,,
http://purl.obolibrary.org/obo/VTO_0046048,Pomacanthus annularis,http://purl.obolibrary.org/obo/VTO_0046046,Pomacanthus,,
http://purl.obolibrary.org/obo/VTO_0046049,Pomacanthus imperator,http://purl.obolibrary.org/obo/VTO_0046046,Pomacanthus,,
